SMILES,affinity,QED,MW
C=CCNc1nc(OC)cn1N(C=O)CC,-5.335,0.5441257385204397,224.26399999999998
Cc1cnc(-c2ccccn2)nc1C(=O)Nc1ccc(OC(F)(F)F)cc1,-7.643,0.7470190521656326,374.32200000000006
COc1ccc(Br)cc1NCC(=O)c1c[nH]c2ccccc12,-6.907,0.6705100256869456,359.223
Cc1cc2c(c(C)c1OC(=O)NCc1ccc(C#N)cc1)CC1(CCN(C(=O)OC(C)(C)C)CC1)N(C1CCC(=O)NC1=O)C2=O,-8.217,0.47996335679481184,629.7140000000003
C=C(C)C(C)(C)c1ccc(-c2cccc(-c3ccncc3)c2)cc1,-7.479,0.5172508102171862,313.444
CN1C(=O)CC(NCc2cnc[nH]2)C1=O,-6.144,0.641001280703554,208.22100000000003
O=C(Nc1cccc(C(F)(F)F)c1)C(Sc1n[nH]c(=O)s1)c1ccccc1,-8.391,0.6133853132565208,411.43000000000006
Cn1ncc2ccc(C(=O)NC3(C(=O)O)CCCCCC3)cc21,-6.615,0.8522941198481374,315.3730000000001
CCN(c1ncc(C(=O)Nc2cccc(Br)c2)cn1)C1CCS(=O)(=O)C1,-6.704,0.7699999717917069,439.3350000000002
CC(OC(=O)C=Cc1cc(Br)cc2c1OCCO2)C(=O)Nc1ccccc1C(C)C,-7.687,0.4751028046137741,474.3510000000002
O=Cc1ccc(Oc2ccc(S(=O)(=O)NCC3CC3)cc2)c2ncccc12,-6.955,0.6320145469294871,382.44100000000014
c1ccc(-c2cc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5cc(-n6c7ccccc7c7ccccc76)ccc54)cc3)n2)cc1,-10.22,0.18801781327728498,638.7740000000001
CCCCCCCCCC(OC)(OCC1CO1)OC(C)C,-4.822,0.27286174150681203,302.45500000000004
C(Sc1c2ccccc2nc2cc3c(cccc3)c-21)#C,,,
COc1cc2c(c3c1OCCO3)OC1(CCNCC1)N2C(=O)OC(C)(C)C,-7.809,0.8048289682700543,378.4250000000001
CCCC(=O)N1CCC(c2ccc(NC(=O)CSc3ccc(F)cc3)cc2)CC1,-7.52,0.6442623386006927,414.54600000000016
O=[N+]([O-])c1ccc(Oc2ccc(NC3CCCCC3)cc2)cc1,-7.015,0.613601840487422,312.369
CNCCC1(C)CCN(c2ccc(S(=O)(=O)Nc3cscn3)s2)CC1,-6.663,0.7464002658479589,400.59500000000014
CNc1cc(N(C)CC(=O)N(C)C)nc(C(C)C)n1,-6.507,0.8655603037357422,265.361
CC(C)C1CCCN(C(=O)c2ccnc(N(C)C)c2)CC1,-4.716,0.857874641115993,289.4230000000001
O=c1c2ccccc2oc2ncnc(N3CCNCC3)c12,-6.52,0.6750074062383202,282.30300000000005
CCNC(C)(C)C(=O)Nc1cc(CC)on1,-5.7,0.7977382733982528,225.29199999999997
COc1ccc(NC(=O)OC2(C(C)NCc3ccc(OC)cc3OC)CCc3cc(C)ccc3C2)cc1,-7.191,0.39070368672462324,504.6270000000004
CCOc1cc(C=C2C(=O)NC(=O)N(c3ccc(C)cc3)C2=O)ccc1OC,-6.598,0.6365167207022017,380.4000000000001
C=CCN(CCN(C)C)C(=O)C1(C)CCCCN1,-5.545,0.7199829464827338,253.38999999999996
Cc1nn(C)c(C)c1NC(=O)C(=O)O,-5.799,0.6233101063441769,197.194
COc1c(O)cc2c(c1Br)OCO2,-4.811,0.8226651514882176,247.04399999999993
CCOc1ccc(CN2CCN(c3ccc(N4CC(CNC(C)=O)OC4=O)cc3Cl)CC2)cc1,-8.055,0.6150751662399413,487.0000000000002
CN1CCN(C2CCCC(C)(C)C2O)CC12CCCNC2=O,-6.872,0.7529798824435585,309.454
CCCOC(=O)C1=C2CC3CC(C1)CC2C3,-6.085,0.6831588824639663,220.31199999999995
COc1cncc2cc(CC(=O)NCC3CNNC(=O)C3)c(=O)oc12,-7.649,0.6666049341906841,346.34300000000013
CC1(CCCc2ccccc2)NC(=O)N(c2cccc(Cl)c2)C1=O,-7.3,0.8286229866242038,342.8260000000001
CC(C)(C)OC(=O)C=C(c1ccccc1)N1CCC(c2nc3cc(OC(F)(F)F)ccc3s2)N(C2CCN(C(=O)Oc3ccccc3)CC2)CC1,,,
CC=Cc1c(C2=CC(c3ccc(N(c4ccc(-c5ccccc5)cc4)c4ccc5ccccc5c4)cc3)=CCC2)ccc(C2CCC(N(C)C3=CC=CC4CC=CC=C34)CC2)c1C1=CCCC(C)=C1,,,
COc1cc(C2CCCN2)oc(=O)c1-c1cn2sc3ncccc3c2n1,-7.148,0.5986381301250303,368.41800000000006
CCCCCCC1=CC(C)c2sc(C)nc21,-5.953,0.65988315034568,235.396
CCC(CCCCCCC(C)(C)OC(=O)CCCN(C)C)OC(=O)NCCOC,-5.499,0.2835839957282275,416.6030000000002
CNC1CCCc2nc(Cl)c(Br)cc21,-5.929,0.7968140106652029,275.577
CC(C)CCNC(=O)c1snnc1-c1ccc(Cl)cc1Cl,-6.075,0.8803897297753458,344.26700000000005
CC(C)c1ccc(NC(=S)NCCCOC2CCCCC2)cc1,-6.448,0.5522676769740085,334.5290000000001
COC1=CCSC2=C1C=NC(NCc1c(C(=O)O)n(C)c3cc(OC)ccc13)=CC2,-5.669,0.7319243332046069,425.5100000000002
O=C1CC(c2ccc(OC(=O)c3ccccc3)cc2)c2cc3ccc(NS(=O)(=O)c4ccccc4)cc3cc2N1,-9.898,0.19064557638066057,548.6200000000002
COc1ccc(C2CC3c4ccccc4C=CN3C2=O)cc1OC,-7.762,0.8641397591646602,321.3760000000001
Cc1ccc(S(=O)(=O)OC2C(C)C(C)C(C)C(C)C2CCC2COC(c3ccccc3)OC2)cc1,-6.677,0.4126100947964642,500.7010000000003
O=C(NC1CCN(C2CCSC2)CC1)c1cc(F)ccc1F,-6.927,0.9267745446037443,326.412
CCCC(C)CCSc1cc2cc(C(=O)Nc3cc(N)nc(N)n3)ccc2cc1N=Nc1ccc(N2C(=O)c3ccccc3C2=O)cc1,-7.92,0.07247227266013694,658.7880000000002
CCCN1CCC(O)CC1C,-4.355,0.6516586100898675,157.25699999999998
Cn1ccc(CC(=O)NCc2ccn(CC(=O)Nc3ccccc3)n2)c1,-7.861,0.6800325077285547,351.41
O=C(NCc1cccnc1)c1ccc(CC23CCCN2C(=O)N(Cc2cccs2)C3)cc1,-7.802,0.5946371671902462,446.57600000000014
CC(C)(C)OC(=O)Nc1cc(F)ccc1NC(=O)c1ccc2c(c1)OCCO2,-6.763,0.8232260150407881,388.3950000000002
CC(O)CN(C)C(=O)C1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,-7.071,0.7843047426994167,398.4810000000002
CCCCC1CN(C2CCC(N)CC2)CCC1C,-6.377,0.8306224592991128,252.44599999999994
CCN(CCC#N)C(=O)c1cccc(N)n1,-5.672,0.8179813049505593,218.26000000000002
NC(=S)N(N)N=Cc1ccc(O)cc1,-5.573,0.2796616489483368,210.26200000000003
CC(SCc1nc2c(Cl)cccc2n1C)C(=O)O,-6.703,0.9377841372295238,284.76800000000003
CCOC1CCN(Cc2ccc(NC(=O)C3CC3)cc2)CC1,-5.813,0.8779649440768412,302.4180000000001
O=C1CCc2ccc(OCc3ccccc3)cc21,-7.282,0.8188469469733076,238.286
CCc1cc2ccc(-c3ccc(COC(=O)NC)cc3)nn2c1C(=O)OC(C)C,-6.983,0.6384954698152289,395.4590000000001
CCCC1NC(=O)CN(CC2CCCCO2)C1=O,-6.029,0.8024436987912088,254.32999999999993
COc1cc(C(O)Cc2ccncn2)ccc1Br,-6.313,0.9427326032074683,309.163
COc1cc(CSc2ccc(C)cc2)cc(C(=O)O)c1C,-6.935,0.8363617986369247,302.3950000000001
COCC(O)(O)C(C)=O,-3.746,0.48081021259413387,134.13099999999997
CC1CCCN(C(=O)c2cc(Nc3cccc(NC(=O)C(C)C)c3)n3nccc3n2)C1,-7.831,0.6523329544383796,420.5170000000002
CCOC(=O)C1=C(C)Nc2ncnn2C1c1ccc(OC)cc1,-5.988,0.8711916503179122,314.3450000000001
CC1(n2cnc3cccnc32)CCNCC1,-5.915,0.7857754184990331,216.28799999999993
O=C(NCCCN1CCOCC1)c1csc2nccn12,-5.437,0.8306240371503728,294.38
COCCN1c2c(Br)cccc2CC1C(=O)O,-5.116,0.9226353851605267,300.15200000000004
Cc1cccc(CN2CCc3c(nc4c5ccccc5ccn34)C2)n1,-7.792,0.5618052255362758,328.4190000000001
CC1C(N(NS(=O)(=O)c2coc3ccc(Cl)cc23)S(=O)(=O)c2ccc(Cl)s2)CC1(C)c1cc(C(F)(C(F)(F)F)C(F)(F)F)cs1,-7.301,0.14390219627478593,759.5960000000005
C(OCCOC)COCNC1CCN(CC1)c1ccc(CN2CCN(CC2)c2cc(Cc3ccccc3)c3c(N)non3n2)cc1,,,
CCC(C)NCC(=O)N1CCCC(C)C1C,-6.199,0.7951820545080535,226.36399999999995
Cc1ccc(S(=O)(=O)ON2CCC(c3nccn3C(=O)Oc3ccccc3)CC2)cc1,-7.488,0.5956505836695908,441.5090000000002
O=C1CC(c2ccc(F)cc2)C=NN1,-6.322,0.7177860840931615,192.19300000000004
CCCCCCCCCCCCCCCC(=O)CCC1OC(OC2C(CO)OC(OC(=O)CCCCCCCCCCCCCCC)C(C(=O)O)C2OC(C)C(O)OC(=O)CCC(=O)ON)C(O)C1O,,,
Cc1nn2ccccc2c1-c1cc(Cl)cc(Cl)c1Cl,-6.583,0.5595671586743299,311.59900000000005
NCCCNc1cccc2c1C(=O)N(CCc1ccc(F)cc1)C2=O,-7.296,0.5990189866572576,341.38599999999997
CC(Cc1ccccc1)NC(=O)CO,-5.949,0.7401324584250797,193.24599999999995
CC1COCCN1c1cc(C(=O)NCC2CN(C(=O)c3ccc4ccccc4c3)Cc3ccsc32)ccn1,-8.396,0.40845394283047803,526.6620000000001
CN=C(NC1CC1c1ccnc(F)c1)N(C)C,-6.471,0.47655474057871133,236.29399999999998
C#CCC=Cc1ccc(=O)[nH]c1,-5.782,0.6500788314120535,159.188
CSc1cccc(NC(=O)C(C)N(c2cccc(C)c2)S(=O)(=O)c2ccccc2)c1,-7.487,0.5286511023510185,440.59000000000015
O=C(Cc1csc(-c2ccccc2Br)n1)NCc1cccc(COCc2ccccc2)c1,-8.146,0.2958472985356956,507.45300000000026
COC(=O)c1cnn(C)c1S(=O)(=O)N1CCN(Cc2cnc(-c3ccccc3)o2)CC1,-7.248,0.5233150703067353,445.50100000000026
NCC(=O)Nc1ccc(C(=O)NNC(=O)C2CCCCC2)cc1,-6.781,0.6182769028960151,318.37700000000007
CCOC(=O)N1CCC(NC(=O)C2CN(C)c3ccccc3O2)CC1,-6.971,0.8996600654277169,347.41500000000013
CCC(=O)N1CCCCCC1c1nc(CS(C)(=O)=O)no1,-4.338,0.8349067569565338,315.39500000000004
c1ccsc1C(N1CCc2c(NS(=O)(=O)c3ccccc3C)nn3ccccc32C1)=O,,,
CCOc1ccc(C=C2Oc3c(cc4c(c3CNCCO)CN(Cc3cccnc3)CO4)C2=O)cc1,-6.438,0.34987806335533345,487.55600000000027
CCC(B1CC(C)CC(=O)N1C)C(CC)C(N)=O,,0.7576456422157577,252.16699999999997
CC(C)(C(=O)Nc1ccc(Br)cc1)C(=O)Nc1ccccc1C(F)(F)F,-7.539,0.6672178245895316,429.23600000000005
CC1(O)CCN(C(=O)c2ccnc(Nc3ccccc3C#N)c2)CC1,-7.239,0.8993417151903018,336.3950000000002
O=C(CCCS(=O)(=O)c1ccc(F)cc1)N(Cc1ccccc1)c1nc2c(Cl)cc(Cl)cc2s1,-6.514,0.23988615444059916,537.4650000000001
Cc1nc(-c2cc[nH]c2)sc1C(=O)Nc1c(Cl)cccc1Cl,-6.892,0.6964513819612962,352.246
COc1cc(NC(=O)CCl)cc(Br)c1OC,-5.793,0.8699602275799904,308.5590000000001
C=CCCSSC(OS(=O)(=O)C(F)(F)F)(C(=O)OCC)C(F)(F)F,-5.473,0.08214556714468892,422.3900000000001
CCc1cc(C(=O)O)c(Nc2cc(C(C)(C)C)ccc2O)s1,-6.454,0.71092552266212,319.426
CCc1ccc(S(=O)(=O)CC2CCCNC2)c(F)c1,-6.516,0.9218875389503056,285.38399999999996
CC(C)CN1CCN(CCC(=O)c2ccc(Cl)cc2)CC1,-6.52,0.7541400623342217,308.85300000000007
OC1CCC(Nc2cccc(C(F)(F)F)c2)CC1,-7.117,0.8525453627044267,259.27099999999996
CCC=CCC=CCC=CCC=CCC=CCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,,,
C(OC(C)=O)Cn1c2N[C@@H]3C[C@@H](c4ccc(cc4)C(C)(C)C)CC(=O)N3n2c(=O)cc1=O,,,
c1ccc(COc2c(C(=O)C)n3c(c(C(=O)OCC(OC)=O)ccc3-c3ccc(Cl)c4ccccc34)c([B])c2)cc1,,,
CC(NCc1ccc(S(=O)(=O)N2CCCCC2(C)C#N)cc1)c1ccncc1,-7.377,0.8059865579364621,398.53200000000004
Cc1ccc(-c2noc(C3=NCCN3)n2)s1,-6.395,0.8539876777977945,234.28400000000002
COC(=O)C1CC(F)CN1,-5.183,0.5244601220877522,147.149
CCc1nnc(-c2ccc(C(=O)NCCCc3nccn3C)cc2)o1,-6.858,0.6680840012477819,339.399
